uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,Other disorders of cartilage,,,,,,,,ICD10-BD,M94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chondrocostal junction syndrome [Tietze],,,,,,,,ICD10-BD,M94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Relapsing polychondritis,,,,,,,,ICD10-BD,M94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chondromalacia,,,,,,,,ICD10-BD,M94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chondrolysis,,,,,,,,ICD10-BD,M94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified disorders of cartilage,,,,,,,,ICD10-BD,M94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Disorder of cartilage, unspecified",,,,,,,,ICD10-BD,M94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other acquired deformities of musculoskeletal system and connective tissue,,,,,,,,ICD10-BD,M95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquired deformity of nose,,,,,,,,ICD10-BD,M95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cauliflower ear,,,,,,,,ICD10-BD,M95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other acquired deformity of head,,,,,,,,ICD10-BD,M95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquired deformity of neck,,,,,,,,ICD10-BD,M95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquired deformity of chest and rib,,,,,,,,ICD10-BD,M95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquired deformity of pelvis,,,,,,,,ICD10-BD,M95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified acquired deformities of musculoskeletal system,,,,,,,,ICD10-BD,M95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acquired deformity of musculoskeletal system, unspecified",,,,,,,,ICD10-BD,M95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Postprocedural musculoskeletal disorders, not elsewhere classified ",,,,,,,,ICD10-BD,M96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pseudarthrosis after fusion or arthrodesis,,,,,,,,ICD10-BD,M96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Postlaminectomy syndrome, not elsewhere classified",,,,,,,,ICD10-BD,M96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postradiation kyphosis,,,,,,,,ICD10-BD,M96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postlaminectomy kyphosis ,,,,,,,,ICD10-BD,M96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsurgical lordosis,,,,,,,,ICD10-BD,M96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postradiation scoliosis,,,,,,,,ICD10-BD,M96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fracture of bone following insertion of orthopedic implant, joint prosthesis, or bone plate",,,,,,,,ICD10-BD,M96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other postprocedural musculoskeletal disorders ,,,,,,,,ICD10-BD,M96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Postprocedural musculoskeletal disorder, unspecified",,,,,,,,ICD10-BD,M96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Biomechanical lesions, not elsewhere classified",,,,,,,,ICD10-BD,M99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Segmental and somatic dysfunction,,,,,,,,ICD10-BD,M99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subluxation complex (vertebral),,,,,,,,ICD10-BD,M99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subluxation stenosis of neural canal,,,,,,,,ICD10-BD,M99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Osseous stenosis of neural canal,,,,,,,,ICD10-BD,M99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connective tissue stenosis of neural canal,,,,,,,,ICD10-BD,M99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intervertebral disc stenosis of neural canal,,,,,,,,ICD10-BD,M99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Osseous and subluxation stenosis of intervertebral foramina,,,,,,,,ICD10-BD,M99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connective tissue and disc stenosis of intervertebral foramina,,,,,,,,ICD10-BD,M99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other biomechanical lesions,,,,,,,,ICD10-BD,M99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Biomechanical lesion, unspecified",,,,,,,,ICD10-BD,M99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute nephritic syndrome,,,,,,,,ICD10-BD,N00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, minor glomerular abnormality",,,,,,,,ICD10-BD,N00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N00.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N00.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N00.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N00.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N00.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, dense deposit disease",,,,,,,,ICD10-BD,N00.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N00.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, other",,,,,,,,ICD10-BD,N00.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute nephritic syndrome, unspecified",,,,,,,,ICD10-BD,N00.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rapidly progressive nephritic syndrome  ,,,,,,,,ICD10-BD,N01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, minor glomerular abnormality",,,,,,,,ICD10-BD,N01.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N01.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N01.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N01.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N01.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, dense deposit disease",,,,,,,,ICD10-BD,N01.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N01.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, other",,,,,,,,ICD10-BD,N01.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rapidly progressive nephritic syndrome, unspecified",,,,,,,,ICD10-BD,N01.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recurrent and persistent hematuria  ,,,,,,,,ICD10-BD,N02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, minor glomerular abnormality",,,,,,,,ICD10-BD,N02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N02.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N02.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N02.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N02.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N02.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, dense deposit disease",,,,,,,,ICD10-BD,N02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N02.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, other",,,,,,,,ICD10-BD,N02.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recurrent and persistent hematuria, unspecified",,,,,,,,ICD10-BD,N02.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic nephritic syndrome  ,,,,,,,,ICD10-BD,N03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, minor glomerular abnormality",,,,,,,,ICD10-BD,N03.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N03.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N03.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N03.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N03.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N03.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, dense deposit disease",,,,,,,,ICD10-BD,N03.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N03.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, other",,,,,,,,ICD10-BD,N03.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic nephritic syndrome, unspecified",,,,,,,,ICD10-BD,N03.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nephrotic syndrome  ,,,,,,,,ICD10-BD,N04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, minor glomerular abnormality",,,,,,,,ICD10-BD,N04.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N04.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N04.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N04.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N04.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N04.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, dense deposit disease",,,,,,,,ICD10-BD,N04.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N04.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, other",,,,,,,,ICD10-BD,N04.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephrotic syndrome, unspecified",,,,,,,,ICD10-BD,N04.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified nephritic syndrome  ,,,,,,,,ICD10-BD,N05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, minor glomerular abnormality",,,,,,,,ICD10-BD,N05.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N05.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N05.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N05.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N05.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N05.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, dense deposit disease",,,,,,,,ICD10-BD,N05.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N05.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, other",,,,,,,,ICD10-BD,N05.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified nephritic syndrome, unspecified",,,,,,,,ICD10-BD,N05.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isolated proteinuria with specified morphological lesion  ,,,,,,,,ICD10-BD,N06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, minor glomerular abnormality",,,,,,,,ICD10-BD,N06.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N06.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N06.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N06.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N06.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, dense deposit disease",,,,,,,,ICD10-BD,N06.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N06.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, other",,,,,,,,ICD10-BD,N06.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated proteinuria with specified morphological lesion, unspecified",,,,,,,,ICD10-BD,N06.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified  ",,,,,,,,ICD10-BD,N07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, minor glomerular abnormality",,,,,,,,ICD10-BD,N07.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, focal and segmental glomerular lesions",,,,,,,,ICD10-BD,N07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, diffuse membranous glomerulonephritis",,,,,,,,ICD10-BD,N07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, diffuse mesangial proliferative glomerulonephritis",,,,,,,,ICD10-BD,N07.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, diffuse endocapillary proliferative glomerulonephritis",,,,,,,,ICD10-BD,N07.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, diffuse mesangiocapillary glomerulonephritis",,,,,,,,ICD10-BD,N07.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, dense deposit disease",,,,,,,,ICD10-BD,N07.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, diffuse crescentic glomerulonephritis",,,,,,,,ICD10-BD,N07.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, other",,,,,,,,ICD10-BD,N07.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hereditary nephropathy, not elsewhere classified, unspecified",,,,,,,,ICD10-BD,N07.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute tubulo-interstitial nephritis,,,,,,,,ICD10-BD,N10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic tubulo-interstitial nephritis,,,,,,,,ICD10-BD,N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nonobstructive reflux-associated chronic pyelonephritis,,,,,,,,ICD10-BD,N11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic obstructive pyelonephritis,,,,,,,,ICD10-BD,N11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other chronic tubulo-interstitial nephritis,,,,,,,,ICD10-BD,N11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic tubulo-interstitial nephritis, unspecified",,,,,,,,ICD10-BD,N11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tubulo-interstitial nephritis, not specified as acute or chronic",,,,,,,,ICD10-BD,N12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Obstructive and reflux uropathy,,,,,,,,ICD10-BD,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydronephrosis with ureteropelvic junction obstruction,,,,,,,,ICD10-BD,N13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hydronephrosis with ureteral stricture, not elsewhere classified",,,,,,,,ICD10-BD,N13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydronephrosis with renal and ureteral calculous obstruction,,,,,,,,ICD10-BD,N13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other and unspecified hydronephrosis,,,,,,,,ICD10-BD,N13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroureter,,,,,,,,ICD10-BD,N13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinking and stricture of ureter without hydronephrosis,,,,,,,,ICD10-BD,N13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pyonephrosis,,,,,,,,ICD10-BD,N13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vesicoureteral-reflux-associated uropathy,,,,,,,,ICD10-BD,N13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other obstructive and reflux uropathy,,,,,,,,ICD10-BD,N13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Obstructive and reflux uropathy, unspecified",,,,,,,,ICD10-BD,N13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,,,,,,,,ICD10-BD,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Analgesic nephropathy,,,,,,,,ICD10-BD,N14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephropathy induced by other drugs, medicaments, and biological substances",,,,,,,,ICD10-BD,N14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephropathy induced by unspecified drug, medicament, or biological substance",,,,,,,,ICD10-BD,N14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nephropathy induced by heavy metals,,,,,,,,ICD10-BD,N14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Toxic nephropathy, not elsewhere classified",,,,,,,,ICD10-BD,N14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other renal tubulo-interstitial diseases,,,,,,,,ICD10-BD,N15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balkan nephropathy,,,,,,,,ICD10-BD,N15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renal and perinephric abscess,,,,,,,,ICD10-BD,N15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified renal tubulo-interstitial diseases,,,,,,,,ICD10-BD,N15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Renal tubulo-interstitial disease, unspecified",,,,,,,,ICD10-BD,N15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute renal failure,,কিডনি ফেইলিওর,,,,,,ICD10-BD,N17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute renal failure with tubular necrosis,,,,,,,,ICD10-BD,N17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute renal failure with acute cortical necrosis,,,,,,,,ICD10-BD,N17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute renal failure with medullary necrosis,,,,,,,,ICD10-BD,N17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other acute renal failure,,,,,,,,ICD10-BD,N17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute renal failure, unspecified",,,,,,,,ICD10-BD,N17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic renal failure,,,,,,,,ICD10-BD,N18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-stage renal disease,,,,,,,,ICD10-BD,N18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other chronic renal failure,,,,,,,,ICD10-BD,N18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic renal failure, unspecified",,,,,,,,ICD10-BD,N18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified renal failure,,,,,,,,ICD10-BD,N19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus of kidney and ureter,,,,,,,,ICD10-BD,N20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus of kidney,,,,,,,,ICD10-BD,N20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus of ureter,,,,,,,,ICD10-BD,N20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus of kidney with calculus of ureter,,,,,,,,ICD10-BD,N20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Urinary calculus, unspecified",,,,,,,,ICD10-BD,N20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus of lower urinary tract,,,,,,,,ICD10-BD,N21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus in bladder,,,,,,,,ICD10-BD,N21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculus in urethra,,,,,,,,ICD10-BD,N21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other lower urinary tract calculus,,,,,,,,ICD10-BD,N21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Calculus of lower urinary tract, unspecified",,,,,,,,ICD10-BD,N21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified renal colic,,,,,,,,ICD10-BD,N23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disorders resulting from impaired renal tubular function,,,,,,,,ICD10-BD,N25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renal osteodystrophy,,,,,,,,ICD10-BD,N25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nephrogenic diabetes insipidus,,,,,,,,ICD10-BD,N25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other disorders resulting from impaired renal tubular function,,,,,,,,ICD10-BD,N25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Disorder resulting from impaired renal tubular function, unspecified",,,,,,,,ICD10-BD,N25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified contracted kidney,,,,,,,,ICD10-BD,N26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Small kidney of unknown cause,,,,,,,,ICD10-BD,N27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Small kidney, unilateral",,,,,,,,ICD10-BD,N27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Small kidney, bilateral",,,,,,,,ICD10-BD,N27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
